thesau_%0;term;term.soort;term.status;use_count;narrower_term;broader_term;related_term;equivalent_term;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98223;Nieuwe Tijd Laat;onderwerp;kandidaat;1238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85764;poort;onderwerp;descriptor;1227;;staande werk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
598;Woning;onderwerp;descriptor;1218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1456;Kerkinterieur;geografisch trefwoord#onderwerp;descriptor;1218;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26888;bovendeurstuk;onderwerp;descriptor;1209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85022;natuursteen;onderwerp;descriptor;1193;afzettingsgesteenten#metamorfgesteente#stollingsgesteenten;steen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9431;Tielerwaard;geografisch trefwoord#onderwerp;descriptor;1185;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34361;Plafonds;onderwerp;descriptor;1184;Cassettenplafond#Stucplafond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33828;Archeobotanie;onderwerp#onderzoek/gebruik methode;descriptor;1181;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4551;Schoorsteenstuk;onderwerp;descriptor;1177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35454;archeozoologie;onderwerp#onderzoek/gebruik methode;kandidaat;1147;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
740;Verwarming;onderwerp;descriptor;1145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92874;schouwen (scheepstype);onderwerp;descriptor;1141;;watervervoer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89477;stations;onderwerp;descriptor;1138;bootstations#busstations#eilandstations#kopstations#metrostations#overslagstations#spoorwegstations#tramstations#traversestations#wisselstations;transportgebouwen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34525;trappen;onderwerp;descriptor;1131;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
657;Religie;onderwerp;descriptor;1125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
735;Groen;onderwerp#geografisch trefwoord#collectie;descriptor;1122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27467;Jaarverslag;uitleencategorie#materiaalsoort#onderwerp;descriptor;1116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14931;Koloniale geschiedenis;onderwerp;descriptor;1114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93159;beeld;onderwerp;descriptor;1113;Christusbeeld#H. Hartbeeld#Kindje Jezus#Mariabeeld#Marianum#beeldonderdelen#borstbeeld#devotiebeeld#grafbeeld#heiligenbeeld#pleurant#reliekbeeld#schalkbeeld#staakbeeld#standbeeld#stolpbeeld#vuistbeeld;kunst;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
